name,glon,glat,ra,dec,size_major,size_minor,size_flag,shape,shape_flag,flux,flux_flag,specindex,specindex_flag,othernames
G320.6-01.6,320.6,-1.6,229.45833333333334,-59.266666666666666,60.0,30.0,,S,,,?,,?,[]
G321.9-01.1,321.9,-1.1,230.9375,-58.21666666666667,28.0,28.0,,S,,3.4,>?,,?,[]
G321.9-00.3,321.9,-0.3,230.16666666666666,-57.56666666666667,31.0,23.0,,S,,13.0,,0.3,,[]
G322.1+00.0,322.1,0.0,230.20416666666668,-57.166666666666664,8.0,4.5,?,S,?,,?,,?,[]
G322.5-00.1,322.5,-0.1,230.84583333333333,-57.1,15.0,15.0,,C,,1.5,,0.4,,[]
G323.5+00.1,323.5,0.1,232.175,-56.35,13.0,13.0,,S,,3.0,?,0.4,?,[]
G326.3-01.8,326.3,-1.8,238.25,-56.166666666666664,38.0,38.0,,C,,145.0,,,varies,['MSH 15-56']
G327.1-01.1,327.1,-1.1,238.60416666666666,-55.15,18.0,18.0,,C,,7.0,?,,?,[]
G327.2-00.1,327.2,-0.1,237.72916666666666,-54.3,5.0,5.0,,S,,0.4,,,?,[]
G327.4+00.4,327.4,0.4,237.08333333333334,-53.81666666666667,21.0,21.0,,S,,30.0,?,0.6,,['Kes 27']
G327.4+01.0,327.4,1.0,236.7,-53.333333333333336,14.0,14.0,,S,,1.9,?,,?,[]
G327.6+14.6,327.6,14.6,225.70833333333334,-41.93333333333333,30.0,30.0,,S,,19.0,,0.6,,"['SN1006', ' PKS 1459-41']"
G328.4+00.2,328.4,0.2,238.875,-53.28333333333333,5.0,5.0,,F,,15.0,,0.0,,['(MSH 15-57)']
G329.7+00.4,329.7,0.4,240.33333333333334,-52.3,40.0,33.0,,S,,34.0,>?,,?,[]
G330.0+15.0,330.0,15.0,227.5,-40.0,180.0,180.0,?,S,,350.0,?,0.5,?,['Lupus Loop']
G330.2+01.0,330.2,1.0,240.275,-51.56666666666667,11.0,11.0,,S,?,5.0,?,0.3,,[]
G332.0+00.2,332.0,0.2,243.32083333333333,-50.88333333333333,12.0,12.0,,S,,8.0,?,0.5,,[]
G332.4-00.4,332.4,-0.4,244.3875,-51.03333333333333,10.0,10.0,,S,,28.0,,0.5,,['RCW 103']
G332.4+00.1,332.4,0.1,243.83333333333334,-50.7,15.0,15.0,,S,,26.0,,0.5,,"['MSH 16-51', ' Kes 32']"
G332.5-05.6,332.5,-5.6,250.83333333333334,-54.5,35.0,35.0,,S,,2.0,?,0.7,?,[]
G335.2+00.1,335.2,0.1,246.9375,-48.78333333333333,21.0,21.0,,S,,16.0,,0.5,,[]
G336.7+00.5,336.7,0.5,248.04583333333332,-47.31666666666667,14.0,10.0,,S,,6.0,,0.5,,[]
G337.0-00.1,337.0,-0.1,248.9875,-47.6,1.5,1.5,,S,,1.5,,0.6,?,['(CTB 33)']
G337.2-00.7,337.2,-0.7,249.86666666666667,-47.85,6.0,6.0,,S,,1.5,,0.4,,[]
G337.2+00.1,337.2,0.1,248.97916666666666,-47.333333333333336,3.0,2.0,,,?,1.5,?,,?,[]
G337.3+01.0,337.3,1.0,248.1625,-46.6,15.0,12.0,,S,,16.0,,0.55,,['Kes 40']
G337.8-00.1,337.8,-0.1,249.75416666666666,-46.983333333333334,9.0,6.0,,S,,18.0,,0.5,,['Kes 41']
G338.1+00.4,338.1,0.4,249.49583333333334,-46.4,15.0,15.0,?,S,,4.0,?,0.4,,[]
G338.3-00.0,338.3,-0.0,250.25,-46.56666666666667,8.0,8.0,,C,?,7.0,?,,?,[]
G338.5+00.1,338.5,0.1,250.2875,-46.31666666666667,9.0,9.0,,,?,12.0,?,,?,[]
G340.4+00.4,340.4,0.4,251.62916666666666,-44.65,10.0,7.0,,S,,5.0,,0.4,,[]
G340.6+00.3,340.6,0.3,251.92083333333332,-44.56666666666667,6.0,6.0,,S,,5.0,?,0.4,?,[]
G341.2+00.9,341.2,0.9,251.89583333333334,-43.78333333333333,22.0,16.0,,C,,1.5,?,0.6,?,[]
G341.9-00.3,341.9,-0.3,253.75416666666666,-44.016666666666666,7.0,7.0,,S,,2.5,,0.5,,[]
G342.0-00.2,342.0,-0.2,253.70833333333334,-43.88333333333333,12.0,9.0,,S,,3.5,?,0.4,?,[]
G342.1+00.9,342.1,0.9,252.67916666666667,-43.06666666666667,10.0,9.0,,S,,0.5,?,,?,[]
G343.0-06.0,343.0,-6.0,261.25,-46.5,250.0,250.0,,S,,,?,,?,['RCW 114']
G343.1-02.3,343.1,-2.3,257.0,-44.266666666666666,32.0,32.0,?,C,?,8.0,?,0.5,?,[]
G343.1-00.7,343.1,-0.7,255.10416666666666,-43.233333333333334,27.0,21.0,,S,,7.8,,0.55,,[]
G344.7-00.1,344.7,-0.1,255.9625,-41.7,8.0,8.0,,C,?,2.5,?,0.3,?,[]
G345.7-00.2,345.7,-0.2,256.8333333333333,-40.88333333333333,6.0,6.0,,S,,0.6,?,,?,[]
G346.6-00.2,346.6,-0.2,257.57916666666665,-40.18333333333333,8.0,8.0,,S,,8.0,?,0.5,?,[]
G347.3-00.5,347.3,-0.5,258.4583333333333,-39.75,65.0,55.0,,S,?,30.0,?,,?,['RX J1713.7-3946']
G348.5-00.0,348.5,-0.0,258.85833333333335,-38.46666666666667,10.0,10.0,?,S,?,10.0,?,0.4,?,[]
G348.5+00.1,348.5,0.1,258.525,-38.53333333333333,15.0,15.0,,S,,72.0,,0.3,,['CTB 37A']
G348.7+00.3,348.7,0.3,258.4791666666667,-38.18333333333333,17.0,17.0,?,S,,26.0,,0.3,,['CTB 37B']
G349.2-00.1,349.2,-0.1,259.3125,-38.06666666666667,9.0,6.0,,S,,1.4,?,,?,[]
G349.7+00.2,349.7,0.2,259.49583333333334,-37.43333333333333,2.5,2.0,,S,,20.0,,0.5,,[]
G350.0-02.0,350.0,-2.0,261.9583333333333,-38.53333333333333,45.0,45.0,,S,,26.0,,0.4,,[]
G350.1-00.3,350.1,-0.3,259.4166666666667,-37.4,4.0,4.0,?,,?,6.0,?,0.8,?,[]
G351.2+00.1,351.2,0.1,260.6125,-36.18333333333333,7.0,7.0,,C,?,5.0,?,0.4,,[]
G351.7+00.8,351.7,0.8,260.25,-35.45,18.0,14.0,,S,,10.0,,0.5,?,[]
G351.9-00.9,351.9,-0.9,262.21666666666664,-36.266666666666666,12.0,9.0,,S,,1.8,?,,?,[]
