#
# SKA1-low configurations
#
# * Core: area 1000 m in diameter, within which the individual stations
#   are randomly located with no overlap
# * Central: area 1700 m in radius
# * Cluster: a group of 6 stations placed randomly around a cluster
#   location, only defined for stations outside the core area
# * Individual stations will be 35-45 m in diameter
# * Each station has 256 antenna elements randomly placed
# * Total 512 stations; total 131,072 antenna elements
# * 3 arms with each arm of the spiral will contain 16 clusters
# * WGS84 Positions of SKA1-low Stations
#
# Note:
# WGS84 is an Earth-centred, Earth-fixed terrestrial reference system
# and geodetic datum
#
# Reference:
# SKA-TEL-SKO-0000422, revision 02, 2016-05-31, Table 1
# http://astronomers.skatelescope.org/wp-content/uploads/2016/09/SKA-TEL-SKO-0000422_02_SKA1_LowConfigurationCoordinates-1.pdf
#
# Array center: 116.7644482 , -26.82472208
#
Label	Longitude	Latitude
N9-2	116.7196165	-26.78423906
N9-3	116.7188221	-26.78418602
N9-4	116.71924	-26.78408511
N9-5	116.7194779	-26.78376003
N9-6	116.718931	-26.78372956
E10-1	116.8347371	-26.86176268
E10-2	116.834348	-26.86159647
E10-3	116.8353121	-26.8615534
E10-4	116.8347631	-26.86125593
E10-5	116.8344672	-26.86094903
E10-6	116.8351963	-26.86090599
E11-1	116.8641579	-26.85878643
E11-2	116.8636119	-26.85870578
E11-3	116.8638423	-26.85834261
E11-4	116.8646105	-26.85829028
E11-5	116.8636348	-26.85805447
E11-6	116.8643041	-26.85797243
E12-1	116.8672039	-26.90680861
E12-2	116.8667745	-26.90652953
E12-3	116.8662078	-26.90646679
E12-4	116.8671252	-26.90629902
E12-5	116.8667427	-26.90614098
E12-6	116.8663364	-26.90612716
E13-1	116.9401077	-26.83064117
E13-2	116.9392886	-26.8306141
E13-3	116.9397308	-26.83051693
E13-4	116.9393104	-26.8302564
E13-5	116.939966	-26.83021914
E13-6	116.9396636	-26.83002688
E14-1	116.9922323	-26.79902736
E14-2	116.9916868	-26.79866777
E14-3	116.9920482	-26.7986387
E14-4	116.9926364	-26.79850684
E14-5	116.9919191	-26.7982143
E14-6	116.9925288	-26.79820227
E15-1	117.0158578	-26.69732178
E15-2	117.0155882	-26.69708802
E15-3	117.0162532	-26.6969127
E15-4	117.0156053	-26.69673156
E15-5	117.0159925	-26.69667824
E15-6	117.0151704	-26.69667332
E16-1	117.1008345	-26.69055242
E16-2	117.1003946	-26.69039417
E16-3	117.1014443	-26.69031374
E16-4	117.1006012	-26.69008062
E16-5	117.1009888	-26.68998431
E16-6	117.1006102	-26.68974898
S10-1	116.6934694	-26.86364934
S10-2	116.6936477	-26.86332065
S10-3	116.6940413	-26.86328963
S10-4	116.6933202	-26.86314137
S10-5	116.6937032	-26.86286849
S10-6	116.6932109	-26.86280413
S11-1	116.6668404	-26.89933818
S11-2	116.6672183	-26.89931558
S11-3	116.6674161	-26.89901239
S11-4	116.6662459	-26.898997
S11-5	116.6667466	-26.89886667
S11-6	116.6667282	-26.89853735
S12-1	116.621806	-26.86551456
